Designator,Mid X,Mid Y,Rotation,Layer
AMBER_LED1,156.9772,-61.8112,0.0,top
AMBER_LED10,42.4315,-149.5685,0.0,top
AMBER_LED11,68.3853,-153.7872,0.0,top
AMBER_LED12,99.0,-153.33,0.0,top
AMBER_LED13,126.54,-153.39,0.0,top
AMBER_LED14,155.5685,-149.5685,0.0,top
AMBER_LED15,156.9772,-120.5088,0.0,top
AMBER_LED16,158.75,-92.43,0.0,top
AMBER_LED2,155.5685,-36.4315,0.0,top
AMBER_LED3,127.0,-32.6228,0.0,top
AMBER_LED4,99.06,-31.1,0.0,top
AMBER_LED5,68.4412,-31.6328,0.0,top
AMBER_LED6,42.4315,-36.4315,0.0,top
AMBER_LED7,38.6028,-62.3853,0.0,top
AMBER_LED8,38.99,-93.0,0.0,top
AMBER_LED9,38.6028,-123.0488,0.0,top
IC1,150.51,-64.49,0.0,top
IC10,47.3812,-144.6188,0.0,top
IC11,71.0641,-147.32,0.0,top
IC12,99.0,-146.33,0.0,top
IC13,123.8612,-146.9228,0.0,top
IC14,150.6188,-144.6188,0.0,top
IC15,150.51,-117.83,0.0,top
IC16,151.75,-92.43,0.0,top
IC2,150.6188,-41.3812,0.0,top
IC3,126.9359,-39.09,0.0,top
IC4,99.06,-38.1,0.0,top
IC5,71.12,-38.1,0.0,top
IC6,47.3812,-41.3812,0.0,top
IC7,45.07,-65.0641,0.0,top
IC8,45.99,-93.0,0.0,top
IC9,45.07,-120.37,0.0,top
J2,116.84,-97.79,90.0,top
U1,150.98,-58.42,0.0,top
U10,45.82,-137.26,0.0,top
U11,63.4,-147.64,270.0,top
U12,91.48,-147.42,270.0,top
U13,134.52,-147.42,270.0,top
U14,152.5,-137.26,0.0,top
U15,152.5,-127.1,0.0,top
U16,152.5,-99.16,0.0,top
U17,152.5,-71.22,0.0,top
U18,144.78,-36.68,90.0,top
U19,119.56,-40.54,90.0,top
U2,150.98,-48.26,0.0,top
U20,106.58,-40.74,270.0,top
U21,76.3,-40.54,90.0,top
U22,53.44,-38.0,90.0,top
U23,45.82,-58.52,0.0,top
U24,45.82,-86.46,0.0,top
U25,45.82,-114.3,0.0,top
U26,55.78,-147.64,270.0,top
U27,76.1,-147.42,270.0,top
U28,106.58,-147.42,270.0,top
U29,117.96,-137.16,0.0,top
U3,134.72,-40.54,90.0,top
U30,142.28,-147.2,270.0,top
U31,137.26,-116.94,0.0,top
U32,152.5,-86.46,0.0,top
U4,91.54,-40.54,90.0,top
U5,63.54,-40.52,270.0,top
U6,45.82,-48.26,0.0,top
U7,45.82,-71.22,0.0,top
U8,45.82,-99.16,0.0,top
U9,45.82,-129.64,0.0,top
