Designator,Footprint,Quantity,Value,LCSC Part #
C1,0201,1,C_Small,
"D2, D3",LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm,2,LED,
"DRV8874_CARRIER_BOARD1, DRV8874_CARRIER_BOARD2, DRV8874_CARRIER_BOARD3, DRV8874_CARRIER_BOARD4, DRV8874_CARRIER_BOARD5",DRV887X,5,~,C40877
IC1,TEENSY41,1,TEENSY_4.1,C41376163
J1,AMASS_XT60-M,1,XT60-M,
"J10, J8",TE_1-87465-9,2,Conn_01x18_Pin,
"J2, J3, J4, J5, J6, J7",CUI_TB009-508-02BE,6,Screw_Terminal_01x02,
PS1,CONV_RSE-2405SZ_H2,1,RSE-2405SZ_H2,
Q1,TO254P469X1042X1967-3P,1,IRLZ44NPBF,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,2,R,
"SW1, SW2",rocker_switch_10a,2,SW_Wuerth_450301014042,
